Ano,Unidade_Geografica,Localizacao,Dependencia_Administrativa,Educacao_Infantil_Total,Educacao_Infantil_Creche,Educacao_Infantil_PreEscola,Ensino_Fundamental_Total,Ensino_Fundamental_Anos_Iniciais,Ensino_Fundamental_Anos_Finais,Ensino_Medio,Educacao_Profissional,Educacao_Jovens_Adultos_EJA,Educacao_Especial
2024,Brasil,Total,Total,82.4,81.4,83.7,90.4,88.0,92.6,96.1,92.2,87.9,94.3
2024,Brasil,Total,Federal,89.3,87.7,91.1,98.1,96.5,98.8,99.1,99.0,99.1,85.9
2024,Brasil,Total,Estadual,77.9,62.9,80.1,95.8,94.6,96.1,96.4,93.4,95.8,97.8
2024,Brasil,Total,Municipal,86.7,85.7,87.9,90.6,90.6,90.7,94.0,89.3,76.7,94.4
2024,Brasil,Total,Privada,71.2,72.5,70.7,83.6,77.8,90.4,94.4,89.0,92.9,94.0
2024,Brasil,Total,Pública,86.7,85.7,87.8,92.2,91.1,93.2,96.6,95.0,87.8,94.9
2024,Brasil,Urbana,Total,83.7,82.3,85.4,92.2,89.3,95.1,96.4,92.1,93.7,94.3
2024,Brasil,Urbana,Federal,89.2,86.8,91.4,98.1,96.5,98.8,99.1,99.0,99.2,85.9
2024,Brasil,Urbana,Estadual,94.5,91.3,94.8,97.2,96.8,97.4,96.8,93.3,96.8,97.9
2024,Brasil,Urbana,Municipal,89.1,87.3,91.1,93.9,93.1,95.7,97.3,91.5,87.8,94.5
2024,Brasil,Urbana,Privada,71.3,72.7,70.9,83.7,77.9,90.5,94.5,89.0,93.2,94.0
2024,Brasil,Urbana,Pública,89.1,87.3,91.1,95.1,93.6,96.6,96.9,94.9,93.8,95.0
2024,Brasil,Rural,Total,72.6,69.6,74.5,80.8,79.7,82.1,92.5,95.4,64.8,91.2
2024,Brasil,Rural,Federal,92.3,100.0,75.0,0.0,0.0,0.0,99.2,99.2,98.4,0.0
2024,Brasil,Rural,Estadual,40.6,33.5,42.7,82.2,73.8,84.0,92.3,95.4,86.3,88.2
2024,Brasil,Rural,Municipal,73.5,70.5,75.3,80.7,80.3,81.6,78.7,63.7,56.1,86.7
2024,Brasil,Rural,Privada,60.7,60.9,61.5,75.3,68.4,83.1,87.9,85.5,87.1,93.8
2024,Brasil,Rural,Pública,73.0,70.0,74.7,80.9,79.9,82.0,92.7,96.2,64.6,86.9
2024,Norte,Total,Total,82.4,83.9,81.7,88.4,87.3,89.0,97.4,94.3,91.2,84.3
2024,Norte,Total,Federal,92.9,0.0,92.9,98.6,96.0,99.5,99.1,99.5,98.4,100.0
2024,Norte,Total,Estadual,40.0,100.0,36.6,93.1,90.0,93.8,97.5,95.9,97.8,99.4
2024,Norte,Total,Municipal,82.9,84.4,82.2,86.5,87.3,85.6,100.0,0.0,84.1,93.7
2024,Norte,Total,Privada,80.4,80.9,80.3,88.8,84.9,93.3,95.8,89.0,91.9,78.1
2024,Norte,Total,Pública,82.7,84.4,82.0,88.3,87.7,88.6,97.6,96.7,91.2,96.3
2024,Norte,Urbana,Total,88.1,86.9,88.7,95.3,92.8,97.5,98.7,94.3,98.1,84.7
2024,Norte,Urbana,Federal,92.9,0.0,92.9,98.6,96.0,99.5,99.2,99.4,98.3,100.0
2024,Norte,Urbana,Estadual,100.0,100.0,100.0,98.7,97.8,99.0,99.2,95.8,99.0,99.4
